School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
ALAMEDA COUNTY COMMUNITY,PUBLIC,ALAMEDA,HAYWARD,N,Not Known, ,,,No Data,,,,,
FAME PUBLIC CHARTER,PUBLIC,ALAMEDA,NEWARK,Y,No,109,14,13,No Data,87,87,87,87,87
COMMUNITY SCHOOL FOR CREATIVE EDUCATION,PUBLIC,ALAMEDA,OAKLAND,N,Not Known, ,,,No Data,,,,,
COX ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,No,115,1,1,Up from None,90,91,90,90,92
LAZEAR CHARTER ACADEMY,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,40,0,0,Down to None,90,95,100,95,98
URBAN MONTESSORI CHARTER,PUBLIC,ALAMEDA,OAKLAND,N,Not Known, ,,,No Data,,,,,
YU MING CHARTER,PUBLIC,ALAMEDA,OAKLAND,Y,Yes,52,5,10,No Data,90,90,90,90,90
ALAMEDA COUNTY JUVENILE HALL COURT,PUBLIC,ALAMEDA,SAN LEANDRO,N,Not Known, ,,,No Data,,,,,
AMELIA EARHART ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,128,2,2,-1,98,98,98,98,98
BAY FARM,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,70,1,1,Up from None,99,99,99,99,99
DONALD D. LUM ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,100,3,3,2,97,97,96,97,97
EDISON ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,70,1,1,Up from None,99,99,99,99,99
FRANK OTIS ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,95,1,1,-3,98,98,98,93,98
FRANKLIN ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,50,1,2,Up from None,98,98,98,98,98
HENRY HAIGHT ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,98,1,1,-2,99,99,97,99,99
MAYA LIN,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,73,7,10,No Data,90,90,90,90,90
NEA COMMUNITY LEARNING CENTER,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,48,2,4,No Data,94,94,94,94,94
RUBY BRIDGES ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,91,0,0,Down to None,100,100,100,100,100
WILLIAM G. PADEN ELEMENTARY,PUBLIC,ALAMEDA,ALAMEDA,Y,Yes,73,0,0,Down to None,100,100,100,97,100
CORNELL ELEMENTARY,PUBLIC,ALAMEDA,ALBANY,Y,No,84,13,15,14,75,82,73,80,85
MARIN ELEMENTARY,PUBLIC,ALAMEDA,ALBANY,Y,No,84,9,11,-1,77,85,76,86,83
OCEAN VIEW ELEMENTARY,PUBLIC,ALAMEDA,ALBANY,Y,No,152,4,3,0,76,86,71,88,90
BERKELEY ARTS MAGNET AT WHITTIER,PUBLIC,ALAMEDA,BERKELEY,N,Not Known, ,,,No Data,,,,,
BERKELEY SPECIAL EDUCATION PRESCHOOL,PUBLIC,ALAMEDA,BERKELEY,N,Not Known, ,,,No Data,,,,,
CRAGMONT ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,No,80,6,8,6,85,85,85,93,91
EMERSON ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,No,61,0,0,Down to None,85,85,87,85,89
JEFFERSON ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,No,102,16,16,13,77,77,77,83,83
JOHN MUIR ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,No,58,1,2,Up from None,86,90,90,95,97
LECONTE ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,N,Not Known, ,,,No Data,,,,,
MALCOLM X ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,Yes,127,10,8,Up from None,92,92,92,92,92
OXFORD ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,No,40,0,0,No Opt-Outs,90,95,93,95,98
ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,PUBLIC,ALAMEDA,BERKELEY,Y,Yes,63,0,0,Down to None,94,94,94,94,97
THOUSAND OAKS ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,Yes,63,0,0,Down to None,95,97,97,97,100
WASHINGTON ELEMENTARY,PUBLIC,ALAMEDA,BERKELEY,Y,No,74,2,3,-1,86,86,89,88,91
CASTRO VALLEY ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,No,119,0,0,No Opt-Outs,91,91,89,89,99
CHABOT ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,73,1,1,Up from None,99,99,99,99,99
INDEPENDENT ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,115,0,0,Down to None,99,99,99,99,99
JENSEN RANCH ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,68,0,0,No Opt-Outs,99,99,99,100,97
MARSHALL ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,69,0,0,No Opt-Outs,94,93,93,99,99
PALOMARES ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,20,0,0,No Opt-Outs,100,100,100,95,100
PROCTOR ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,81,0,0,Down to None,100,100,100,99,100
STANTON ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,92,0,0,Down to None,98,100,99,100,100
VANNOY ELEMENTARY,PUBLIC,ALAMEDA,CASTRO VALLEY,Y,Yes,57,1,2,-2,96,98,95,96,98
DUBLIN ELEMENTARY,PUBLIC,ALAMEDA,DUBLIN,Y,No,159,3,2,0,86,89,83,94,92
FREDERIKSEN ELEMENTARY,PUBLIC,ALAMEDA,DUBLIN,Y,Yes,151,2,1,Up from None,98,97,97,97,97
HAROLD WILLIAM KOLB,PUBLIC,ALAMEDA,DUBLIN,Y,Yes,195,3,2,No Data,96,96,96,96,96
JAMES DOUGHERTY ELEMENTARY,PUBLIC,ALAMEDA,DUBLIN,Y,Yes,188,2,1,-2,95,97,94,98,98
JOHN GREEN ELEMENTARY,PUBLIC,ALAMEDA,DUBLIN,Y,Yes,152,3,2,Up from None,97,97,97,97,97
MURRAY ELEMENTARY,PUBLIC,ALAMEDA,DUBLIN,Y,Yes,87,2,2,Up from None,95,95,95,95,98
ANNA YATES ELEMENTARY,PUBLIC,ALAMEDA,EMERYVILLE,Y,No,62,3,5,No Data,55,53,60,89,92
EMERYVILLE PRESCHOOL STUDENTS,PUBLIC,ALAMEDA,EMERYVILLE,N,Not Known, ,,,No Data,,,,,
ARDENWOOD ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,160,1,1,Up from None,97,97,96,99,99
BRIER ELEMENTARY,PUBLIC,ALAMEDA,FREMONT,Y,Yes,137,2,1,-1,97,98,98,98,99
